antecedent,consequent,support,confidence,lift
"['16', '19']",['14'],0.21,0.75,1.04
"['1', '34']","['18', '16']",0.14,0.41,1.11
"['1', '18']","['34', '16']",0.14,0.37,1.12
"['1', '16']","['34', '18']",0.14,0.52,1.11
"['34', '18']","['1', '16']",0.14,0.31,1.11
"['34', '16']","['1', '18']",0.14,0.43,1.12
"['18', '16']","['1', '34']",0.14,0.39,1.11
"['1', '34', '18']",['16'],0.14,0.53,1.04
"['1', '34', '16']",['18'],0.14,0.77,1.09
"['1', '18', '16']",['34'],0.14,0.69,1.08
"['34', '18', '16']",['1'],0.14,0.59,1.13
"['1', '18']","['30', '16']",0.12,0.31,1.08
"['1', '30']","['18', '16']",0.12,0.39,1.06
"['1', '16']","['18', '30']",0.12,0.44,1.1
"['18', '30']","['1', '16']",0.12,0.31,1.1
"['18', '16']","['1', '30']",0.12,0.33,1.06
"['30', '16']","['1', '18']",0.12,0.42,1.08
"['1', '18', '30']",['16'],0.12,0.54,1.05
"['1', '18', '16']",['30'],0.12,0.58,1.03
"['1', '30', '16']",['18'],0.12,0.74,1.05
"['18', '30', '16']",['1'],0.12,0.59,1.14
['1'],"['18', '14', '16']",0.16,0.31,1.09
['16'],"['1', '18', '14']",0.16,0.31,1.06
"['1', '18']","['14', '16']",0.16,0.41,1.08
"['1', '14']","['18', '16']",0.16,0.42,1.13
"['1', '16']","['18', '14']",0.16,0.57,1.09
"['18', '14']","['1', '16']",0.16,0.3,1.09
"['18', '16']","['1', '14']",0.16,0.43,1.13
"['14', '16']","['1', '18']",0.16,0.42,1.08
"['1', '18', '14']",['16'],0.16,0.54,1.06
"['1', '18', '16']",['14'],0.16,0.76,1.06
"['1', '14', '16']",['18'],0.16,0.76,1.08
"['18', '14', '16']",['1'],0.16,0.57,1.09
"['1', '18']","['16', '19']",0.12,0.32,1.13
"['1', '16']","['18', '19']",0.12,0.45,1.12
"['1', '19']","['18', '16']",0.12,0.43,1.17
"['18', '16']","['1', '19']",0.12,0.34,1.17
"['18', '19']","['1', '16']",0.12,0.31,1.12
"['16', '19']","['1', '18']",0.12,0.44,1.13
"['1', '18', '16']",['19'],0.12,0.6,1.11
"['1', '18', '19']",['16'],0.12,0.56,1.09
"['1', '16', '19']",['18'],0.12,0.78,1.11
"['18', '16', '19']",['1'],0.12,0.58,1.12
"['1', '34']","['30', '16']",0.12,0.33,1.13
"['1', '30']","['34', '16']",0.12,0.37,1.12
"['1', '16']","['34', '30']",0.12,0.41,1.13
"['34', '30']","['1', '16']",0.12,0.31,1.13
"['34', '16']","['1', '30']",0.12,0.35,1.12
"['30', '16']","['1', '34']",0.12,0.4,1.13
"['1', '34', '30']",['16'],0.12,0.54,1.05
"['1', '34', '16']",['30'],0.12,0.61,1.09
"['1', '30', '16']",['34'],0.12,0.7,1.09
"['34', '30', '16']",['1'],0.12,0.6,1.15
"['1', '34']","['14', '16']",0.15,0.41,1.09
"['1', '14']","['34', '16']",0.15,0.38,1.15
"['1', '16']","['34', '14']",0.15,0.53,1.11
"['34', '14']","['1', '16']",0.15,0.31,1.11
"['34', '16']","['1', '14']",0.15,0.44,1.15
"['14', '16']","['1', '34']",0.15,0.38,1.09
"['1', '34', '14']",['16'],0.15,0.55,1.07
"['1', '34', '16']",['14'],0.15,0.78,1.08
"['1', '14', '16']",['34'],0.15,0.7,1.09
"['34', '14', '16']",['1'],0.15,0.57,1.09
"['1', '34']","['16', '19']",0.11,0.32,1.11
"['1', '16']","['34', '19']",0.11,0.4,1.12
"['1', '19']","['34', '16']",0.11,0.39,1.17
"['34', '16']","['1', '19']",0.11,0.34,1.17
"['34', '19']","['1', '16']",0.11,0.31,1.12
"['16', '19']","['1', '34']",0.11,0.39,1.11
"['1', '34', '16']",['19'],0.11,0.6,1.1
"['1', '34', '19']",['16'],0.11,0.55,1.07
"['1', '16', '19']",['34'],0.11,0.7,1.09
"['34', '16', '19']",['1'],0.11,0.59,1.13
"['1', '14']","['30', '16']",0.13,0.34,1.16
"['1', '30']","['14', '16']",0.13,0.41,1.09
"['1', '16']","['14', '30']",0.13,0.46,1.1
"['14', '30']","['1', '16']",0.13,0.3,1.1
"['14', '16']","['1', '30']",0.13,0.34,1.09
"['30', '16']","['1', '14']",0.13,0.44,1.16
"['1', '14', '30']",['16'],0.13,0.54,1.05
"['1', '14', '16']",['30'],0.13,0.62,1.09
"['1', '30', '16']",['14'],0.13,0.78,1.08
"['14', '30', '16']",['1'],0.13,0.58,1.12
"['1', '14']","['16', '19']",0.12,0.31,1.1
"['1', '16']","['14', '19']",0.12,0.43,1.08
"['1', '19']","['14', '16']",0.12,0.42,1.1
"['14', '16']","['1', '19']",0.12,0.32,1.1
"['14', '19']","['1', '16']",0.12,0.3,1.08
"['16', '19']","['1', '14']",0.12,0.42,1.1
"['1', '14', '16']",['19'],0.12,0.58,1.07
"['1', '14', '19']",['16'],0.12,0.55,1.06
"['1', '16', '19']",['14'],0.12,0.75,1.05
"['14', '16', '19']",['1'],0.12,0.56,1.08
"['34', '18']","['16', '19']",0.15,0.31,1.09
"['34', '16']","['18', '19']",0.15,0.44,1.1
"['34', '19']","['18', '16']",0.15,0.41,1.1
"['18', '16']","['34', '19']",0.15,0.4,1.1
"['18', '19']","['34', '16']",0.15,0.36,1.1
"['16', '19']","['34', '18']",0.15,0.51,1.09
"['34', '18', '16']",['19'],0.15,0.59,1.1
"['34', '18', '19']",['16'],0.15,0.53,1.04
"['34', '16', '19']",['18'],0.15,0.77,1.09
"['18', '16', '19']",['34'],0.15,0.68,1.06
"['18', '30']","['16', '19']",0.13,0.32,1.11
"['30', '16']","['18', '19']",0.13,0.43,1.09
"['30', '19']","['18', '16']",0.13,0.4,1.08
"['18', '16']","['30', '19']",0.13,0.34,1.08
"['18', '19']","['30', '16']",0.13,0.31,1.09
"['16', '19']","['18', '30']",0.13,0.44,1.11
"['18', '30', '16']",['19'],0.13,0.61,1.13
"['18', '30', '19']",['16'],0.13,0.53,1.03
"['19', '30', '16']",['18'],0.13,0.75,1.07
"['18', '16', '19']",['30'],0.13,0.59,1.04
['16'],"['18', '14', '19']",0.16,0.32,1.04
['19'],"['18', '14', '16']",0.16,0.3,1.08
"['18', '14']","['16', '19']",0.16,0.31,1.08
"['18', '16']","['14', '19']",0.16,0.44,1.11
"['18', '19']","['14', '16']",0.16,0.41,1.07
"['14', '16']","['18', '19']",0.16,0.43,1.07
"['14', '19']","['18', '16']",0.16,0.41,1.11
"['16', '19']","['18', '14']",0.16,0.57,1.08
"['18', '14', '16']",['19'],0.16,0.58,1.08
"['18', '14', '19']",['16'],0.16,0.53,1.04
"['18', '16', '19']",['14'],0.16,0.76,1.06
"['14', '16', '19']",['18'],0.16,0.76,1.08
"['34', '30']","['16', '19']",0.11,0.31,1.07
"['30', '16']","['34', '19']",0.11,0.39,1.08
"['30', '19']","['34', '16']",0.11,0.36,1.07
"['34', '16']","['30', '19']",0.11,0.34,1.07
"['34', '19']","['30', '16']",0.11,0.31,1.08
"['16', '19']","['34', '30']",0.11,0.39,1.07
"['34', '30', '16']",['19'],0.11,0.59,1.09
"['34', '30', '19']",['16'],0.11,0.53,1.02
"['19', '30', '16']",['34'],0.11,0.68,1.06
"['34', '16', '19']",['30'],0.11,0.59,1.05
"['34', '14']","['16', '19']",0.15,0.31,1.09
"['34', '16']","['14', '19']",0.15,0.45,1.12
"['34', '19']","['14', '16']",0.15,0.41,1.09
"['14', '16']","['34', '19']",0.15,0.39,1.09
"['14', '19']","['34', '16']",0.15,0.37,1.12
"['16', '19']","['34', '14']",0.15,0.52,1.09
"['34', '14', '16']",['19'],0.15,0.58,1.07
"['34', '14', '19']",['16'],0.15,0.54,1.05
"['34', '16', '19']",['14'],0.15,0.78,1.09
"['14', '16', '19']",['34'],0.15,0.69,1.08
"['14', '30']","['16', '19']",0.13,0.3,1.05
"['30', '16']","['14', '19']",0.13,0.44,1.09
"['30', '19']","['14', '16']",0.13,0.4,1.05
"['14', '16']","['30', '19']",0.13,0.33,1.05
"['14', '19']","['30', '16']",0.13,0.32,1.09
"['16', '19']","['14', '30']",0.13,0.44,1.05
"['14', '30', '16']",['19'],0.13,0.57,1.06
"['14', '30', '19']",['16'],0.13,0.53,1.02
"['19', '30', '16']",['14'],0.13,0.76,1.06
"['14', '16', '19']",['30'],0.13,0.59,1.05
"['1', '34']","['18', '14', '16']",0.11,0.32,1.15
"['1', '16']","['34', '18', '14']",0.11,0.41,1.13
"['18', '16']","['1', '34', '14']",0.11,0.31,1.16
"['34', '16']","['1', '18', '14']",0.11,0.34,1.17
"['1', '34', '18']","['14', '16']",0.11,0.42,1.1
"['1', '18', '14']","['34', '16']",0.11,0.39,1.17
"['1', '18', '16']","['34', '14']",0.11,0.54,1.14
"['1', '34', '14']","['18', '16']",0.11,0.43,1.16
"['1', '34', '16']","['18', '14']",0.11,0.6,1.15
"['1', '14', '16']","['34', '18']",0.11,0.54,1.17
"['34', '18', '14']","['1', '16']",0.11,0.31,1.13
"['34', '18', '16']","['1', '14']",0.11,0.46,1.21
"['18', '14', '16']","['1', '34']",0.11,0.4,1.15
"['34', '14', '16']","['1', '18']",0.11,0.44,1.14
"['1', '34', '18', '14']",['16'],0.11,0.54,1.05
"['1', '34', '18', '16']",['14'],0.11,0.79,1.1
"['1', '18', '14', '16']",['34'],0.11,0.71,1.11
"['1', '34', '14', '16']",['18'],0.11,0.78,1.1
"['34', '18', '14', '16']",['1'],0.11,0.58,1.12
"['18', '16']","['34', '14', '19']",0.12,0.31,1.14
"['34', '19']","['18', '14', '16']",0.12,0.32,1.14
"['34', '16']","['18', '14', '19']",0.12,0.35,1.13
"['14', '16']","['34', '18', '19']",0.12,0.3,1.11
"['16', '19']","['34', '18', '14']",0.12,0.4,1.12
"['34', '18', '14']","['16', '19']",0.12,0.32,1.12
"['34', '18', '19']","['14', '16']",0.12,0.42,1.11
"['34', '18', '16']","['14', '19']",0.12,0.47,1.17
"['18', '14', '19']","['34', '16']",0.12,0.38,1.13
"['18', '14', '16']","['34', '19']",0.12,0.41,1.14
"['18', '16', '19']","['34', '14']",0.12,0.54,1.13
"['34', '14', '19']","['18', '16']",0.12,0.42,1.14
"['34', '14', '16']","['18', '19']",0.12,0.45,1.12
"['34', '16', '19']","['18', '14']",0.12,0.61,1.15
"['14', '16', '19']","['34', '18']",0.12,0.54,1.15
"['34', '18', '14', '19']",['16'],0.12,0.53,1.04
"['34', '18', '14', '16']",['19'],0.12,0.59,1.1
"['34', '18', '16', '19']",['14'],0.12,0.79,1.1
"['18', '14', '16', '19']",['34'],0.12,0.71,1.1
"['34', '14', '16', '19']",['18'],0.12,0.78,1.1
['1'],"['6', '16']",0.16,0.3,1.09
['16'],"['6', '1']",0.16,0.31,1.08
"['6', '1']",['16'],0.16,0.56,1.08
"['6', '16']",['1'],0.16,0.57,1.09
"['1', '16']",['6'],0.16,0.57,1.08
['6'],"['16', '19']",0.16,0.31,1.07
['16'],"['6', '19']",0.16,0.31,1.05
"['6', '16']",['19'],0.16,0.58,1.07
"['6', '19']",['16'],0.16,0.54,1.05
"['16', '19']",['6'],0.16,0.56,1.07
"['6', '1']","['18', '16']",0.12,0.43,1.16
"['6', '18']","['1', '16']",0.12,0.32,1.15
"['6', '16']","['1', '18']",0.12,0.44,1.13
"['1', '18']","['6', '16']",0.12,0.31,1.13
"['1', '16']","['6', '18']",0.12,0.44,1.15
"['18', '16']","['6', '1']",0.12,0.33,1.16
"['6', '18', '1']",['16'],0.12,0.56,1.09
"['6', '16', '1']",['18'],0.12,0.77,1.09
"['6', '18', '16']",['1'],0.12,0.6,1.15
"['1', '18', '16']",['6'],0.12,0.58,1.1
"['6', '1']","['34', '16']",0.11,0.38,1.14
"['6', '34']","['1', '16']",0.11,0.31,1.11
"['6', '16']","['1', '34']",0.11,0.39,1.1
"['1', '34']","['6', '16']",0.11,0.31,1.1
"['1', '16']","['6', '34']",0.11,0.39,1.11
"['34', '16']","['6', '1']",0.11,0.33,1.14
"['6', '34', '1']",['16'],0.11,0.54,1.05
"['6', '16', '1']",['34'],0.11,0.68,1.07
"['6', '34', '16']",['1'],0.11,0.59,1.13
"['1', '34', '16']",['6'],0.11,0.58,1.09
"['6', '1']","['14', '16']",0.12,0.42,1.11
"['6', '14']","['1', '16']",0.12,0.31,1.11
"['6', '16']","['1', '14']",0.12,0.43,1.13
"['1', '14']","['6', '16']",0.12,0.31,1.13
"['1', '16']","['6', '14']",0.12,0.43,1.11
"['14', '16']","['6', '1']",0.12,0.32,1.11
"['6', '14', '1']",['16'],0.12,0.56,1.09
"['6', '16', '1']",['14'],0.12,0.76,1.06
"['6', '14', '16']",['1'],0.12,0.57,1.1
"['1', '14', '16']",['6'],0.12,0.58,1.09
"['6', '18']","['16', '19']",0.12,0.32,1.11
"['6', '16']","['18', '19']",0.12,0.43,1.09
"['6', '19']","['18', '16']",0.12,0.4,1.1
"['18', '16']","['6', '19']",0.12,0.33,1.1
"['18', '19']","['6', '16']",0.12,0.3,1.09
"['16', '19']","['6', '18']",0.12,0.42,1.11
"['6', '18', '16']",['19'],0.12,0.59,1.1
"['6', '18', '19']",['16'],0.12,0.54,1.06
"['6', '16', '19']",['18'],0.12,0.75,1.06
"['18', '16', '19']",['6'],0.12,0.56,1.07
"['6', '16']","['34', '19']",0.11,0.38,1.05
"['6', '19']","['34', '16']",0.11,0.35,1.06
"['34', '16']","['6', '19']",0.11,0.32,1.06
"['16', '19']","['6', '34']",0.11,0.37,1.04
"['6', '34', '16']",['19'],0.11,0.57,1.06
"['6', '34', '19']",['16'],0.11,0.51,1.0
"['6', '16', '19']",['34'],0.11,0.65,1.02
"['34', '16', '19']",['6'],0.11,0.55,1.05
"['6', '14']","['16', '19']",0.12,0.3,1.06
"['6', '16']","['14', '19']",0.12,0.42,1.06
"['6', '19']","['14', '16']",0.12,0.4,1.04
"['14', '16']","['6', '19']",0.12,0.31,1.04
"['16', '19']","['6', '14']",0.12,0.41,1.06
"['6', '14', '16']",['19'],0.12,0.57,1.05
"['6', '14', '19']",['16'],0.12,0.54,1.04
"['6', '16', '19']",['14'],0.12,0.73,1.02
"['14', '16', '19']",['6'],0.12,0.55,1.05
['1'],['48'],0.25,0.49,1.02
['48'],['1'],0.25,0.53,1.02
['18'],['48'],0.35,0.49,1.03
['48'],['18'],0.35,0.73,1.03
['34'],['48'],0.32,0.49,1.03
['48'],['34'],0.32,0.66,1.03
['48'],['30'],0.28,0.59,1.05
['30'],['48'],0.28,0.5,1.05
['6'],['48'],0.26,0.49,1.01
['48'],['6'],0.26,0.53,1.01
['48'],['14'],0.36,0.74,1.04
['14'],['48'],0.36,0.5,1.04
['48'],['19'],0.27,0.56,1.04
['19'],['48'],0.27,0.5,1.04
['1'],"['48', '18']",0.19,0.37,1.07
['48'],"['1', '18']",0.19,0.4,1.05
"['1', '18']",['48'],0.19,0.5,1.05
"['48', '18']",['1'],0.19,0.56,1.07
"['1', '48']",['18'],0.19,0.76,1.08
['1'],"['34', '48']",0.18,0.34,1.09
['48'],"['1', '34']",0.18,0.37,1.06
"['1', '34']",['48'],0.18,0.51,1.06
"['1', '48']",['34'],0.18,0.7,1.09
"['34', '48']",['1'],0.18,0.56,1.09
['1'],"['48', '30']",0.16,0.3,1.07
['48'],"['1', '30']",0.16,0.33,1.06
"['1', '48']",['30'],0.16,0.62,1.1
"['1', '30']",['48'],0.16,0.51,1.06
"['48', '30']",['1'],0.16,0.56,1.07
"['6', '1']",['48'],0.14,0.5,1.04
"['6', '48']",['1'],0.14,0.55,1.06
"['1', '48']",['6'],0.14,0.55,1.05
['1'],"['48', '14']",0.2,0.38,1.05
['48'],"['1', '14']",0.2,0.41,1.07
"['1', '48']",['14'],0.2,0.77,1.07
"['1', '14']",['48'],0.2,0.51,1.07
"['48', '14']",['1'],0.2,0.55,1.05
['48'],"['1', '19']",0.15,0.31,1.07
"['1', '48']",['19'],0.15,0.58,1.08
"['1', '19']",['48'],0.15,0.51,1.07
"['48', '19']",['1'],0.15,0.55,1.06
['18'],"['34', '48']",0.24,0.33,1.05
['34'],"['48', '18']",0.24,0.37,1.06
['48'],"['34', '18']",0.24,0.49,1.05
"['34', '18']",['48'],0.24,0.5,1.05
"['48', '18']",['34'],0.24,0.68,1.06
"['34', '48']",['18'],0.24,0.74,1.05
['48'],"['18', '30']",0.21,0.43,1.08
['30'],"['48', '18']",0.21,0.36,1.05
"['48', '18']",['30'],0.21,0.59,1.05
"['18', '30']",['48'],0.21,0.52,1.08
"['48', '30']",['18'],0.21,0.73,1.03
['6'],"['48', '18']",0.19,0.36,1.04
['48'],"['6', '18']",0.19,0.4,1.04
"['6', '18']",['48'],0.19,0.5,1.04
"['48', '18']",['6'],0.19,0.55,1.04
"['6', '48']",['18'],0.19,0.74,1.06
['18'],"['48', '14']",0.27,0.38,1.08
['48'],"['18', '14']",0.27,0.56,1.07
['14'],"['48', '18']",0.27,0.38,1.08
"['48', '18']",['14'],0.27,0.78,1.08
"['18', '14']",['48'],0.27,0.51,1.07
"['48', '14']",['18'],0.27,0.76,1.08
['48'],"['18', '19']",0.2,0.42,1.05
['19'],"['48', '18']",0.2,0.37,1.07
"['48', '18']",['19'],0.2,0.58,1.07
"['18', '19']",['48'],0.2,0.5,1.05
"['48', '19']",['18'],0.2,0.75,1.06
['48'],"['34', '30']",0.19,0.4,1.08
['30'],"['34', '48']",0.19,0.34,1.07
"['34', '48']",['30'],0.19,0.6,1.07
"['34', '30']",['48'],0.19,0.52,1.08
"['48', '30']",['34'],0.19,0.67,1.05
['6'],"['34', '48']",0.18,0.33,1.06
['48'],"['6', '34']",0.18,0.37,1.05
"['6', '34']",['48'],0.18,0.5,1.05
"['6', '48']",['34'],0.18,0.69,1.08
"['34', '48']",['6'],0.18,0.56,1.06
['34'],"['48', '14']",0.24,0.38,1.06
['48'],"['34', '14']",0.24,0.51,1.07
['14'],"['34', '48']",0.24,0.34,1.07
"['34', '48']",['14'],0.24,0.77,1.07
"['34', '14']",['48'],0.24,0.51,1.07
"['48', '14']",['34'],0.24,0.68,1.06
['48'],"['34', '19']",0.18,0.37,1.03
['19'],"['34', '48']",0.18,0.33,1.04
"['34', '48']",['19'],0.18,0.56,1.04
"['34', '19']",['48'],0.18,0.49,1.03
"['48', '19']",['34'],0.18,0.66,1.04
['48'],"['6', '30']",0.15,0.32,1.05
"['6', '48']",['30'],0.15,0.6,1.07
"['6', '30']",['48'],0.15,0.5,1.05
"['48', '30']",['6'],0.15,0.55,1.04
['48'],"['14', '30']",0.22,0.45,1.08
['14'],"['48', '30']",0.22,0.3,1.08
['30'],"['48', '14']",0.22,0.39,1.08
"['48', '14']",['30'],0.22,0.61,1.08
"['48', '30']",['14'],0.22,0.77,1.08
"['14', '30']",['48'],0.22,0.52,1.08
['48'],"['30', '19']",0.17,0.35,1.09
['19'],"['48', '30']",0.17,0.31,1.09
"['48', '30']",['19'],0.17,0.59,1.09
"['48', '19']",['30'],0.17,0.62,1.1
"['30', '19']",['48'],0.17,0.52,1.09
['6'],"['48', '14']",0.19,0.37,1.03
['48'],"['6', '14']",0.19,0.4,1.04
"['6', '48']",['14'],0.19,0.76,1.06
"['6', '14']",['48'],0.19,0.5,1.04
"['48', '14']",['6'],0.19,0.54,1.03
['48'],"['6', '19']",0.15,0.32,1.06
"['6', '48']",['19'],0.15,0.59,1.1
"['6', '19']",['48'],0.15,0.51,1.06
"['48', '19']",['6'],0.15,0.57,1.07
['48'],"['14', '19']",0.21,0.44,1.1
['19'],"['48', '14']",0.21,0.39,1.09
"['48', '14']",['19'],0.21,0.59,1.09
"['48', '19']",['14'],0.21,0.78,1.09
"['14', '19']",['48'],0.21,0.52,1.1
"['1', '18']","['34', '48']",0.14,0.36,1.14
"['34', '18']","['1', '48']",0.14,0.3,1.18
"['48', '18']","['1', '34']",0.14,0.4,1.15
"['1', '34']","['48', '18']",0.14,0.4,1.15
"['1', '48']","['34', '18']",0.14,0.55,1.18
"['34', '48']","['1', '18']",0.14,0.44,1.14
"['1', '34', '18']",['48'],0.14,0.52,1.08
"['48', '1', '18']",['34'],0.14,0.72,1.13
"['48', '34', '18']",['1'],0.14,0.6,1.15
"['1', '34', '48']",['18'],0.14,0.79,1.11
"['48', '18']","['1', '30']",0.11,0.33,1.07
"['1', '48']","['18', '30']",0.11,0.45,1.14
"['1', '30']","['48', '18']",0.11,0.37,1.07
"['48', '30']","['1', '18']",0.11,0.41,1.05
"['48', '1', '18']",['30'],0.11,0.59,1.05
"['1', '18', '30']",['48'],0.11,0.51,1.07
"['48', '18', '30']",['1'],0.11,0.56,1.08
"['1', '48', '30']",['18'],0.11,0.73,1.04
"['48', '18']","['6', '1']",0.11,0.31,1.1
"['1', '48']","['6', '18']",0.11,0.43,1.12
"['6', '1']","['48', '18']",0.11,0.38,1.1
"['6', '48']","['1', '18']",0.11,0.43,1.1
"['48', '1', '18']",['6'],0.11,0.56,1.07
"['6', '1', '18']",['48'],0.11,0.5,1.05
"['48', '6', '18']",['1'],0.11,0.57,1.1
"['6', '1', '48']",['18'],0.11,0.77,1.1
['48'],"['1', '18', '14']",0.15,0.32,1.1
"['1', '18']","['48', '14']",0.15,0.4,1.11
"['48', '18']","['1', '14']",0.15,0.44,1.16
"['1', '48']","['18', '14']",0.15,0.6,1.14
"['1', '14']","['48', '18']",0.15,0.4,1.16
"['48', '14']","['1', '18']",0.15,0.43,1.11
"['48', '1', '18']",['14'],0.15,0.79,1.1
"['1', '18', '14']",['48'],0.15,0.52,1.1
"['48', '18', '14']",['1'],0.15,0.57,1.09
"['1', '48', '14']",['18'],0.15,0.79,1.12
"['48', '18']","['1', '19']",0.12,0.33,1.15
"['1', '48']","['18', '19']",0.12,0.45,1.13
"['1', '19']","['48', '18']",0.12,0.4,1.15
"['48', '19']","['1', '18']",0.12,0.43,1.11
"['48', '1', '18']",['19'],0.12,0.59,1.1
"['1', '18', '19']",['48'],0.12,0.52,1.08
"['48', '18', '19']",['1'],0.12,0.57,1.1
"['1', '48', '19']",['18'],0.12,0.78,1.1
"['1', '34']","['48', '30']",0.11,0.32,1.13
"['1', '48']","['34', '30']",0.11,0.44,1.2
"['1', '30']","['34', '48']",0.11,0.36,1.15
"['34', '48']","['1', '30']",0.11,0.36,1.15
"['34', '30']","['1', '48']",0.11,0.31,1.2
"['48', '30']","['1', '34']",0.11,0.4,1.13
"['1', '34', '48']",['30'],0.11,0.63,1.12
"['1', '34', '30']",['48'],0.11,0.53,1.1
"['1', '48', '30']",['34'],0.11,0.72,1.12
"['34', '48', '30']",['1'],0.11,0.59,1.14
"['6', '1']","['34', '48']",0.1,0.37,1.16
"['6', '48']","['1', '34']",0.1,0.41,1.16
"['1', '48']","['6', '34']",0.1,0.41,1.16
"['34', '48']","['6', '1']",0.1,0.33,1.16
"['6', '34', '1']",['48'],0.1,0.52,1.08
"['6', '48', '1']",['34'],0.1,0.74,1.16
"['6', '34', '48']",['1'],0.1,0.59,1.14
"['1', '34', '48']",['6'],0.1,0.59,1.11
"['1', '34']","['48', '14']",0.14,0.4,1.12
"['1', '48']","['34', '14']",0.14,0.55,1.16
"['1', '14']","['34', '48']",0.14,0.37,1.16
"['34', '48']","['1', '14']",0.14,0.44,1.16
"['48', '14']","['1', '34']",0.14,0.39,1.12
"['1', '34', '48']",['14'],0.14,0.79,1.1
"['1', '34', '14']",['48'],0.14,0.53,1.1
"['1', '48', '14']",['34'],0.14,0.72,1.12
"['34', '48', '14']",['1'],0.14,0.58,1.12
"['1', '48']","['34', '19']",0.1,0.4,1.13
"['1', '19']","['34', '48']",0.1,0.36,1.13
"['34', '48']","['1', '19']",0.1,0.33,1.13
"['48', '19']","['1', '34']",0.1,0.39,1.09
"['1', '34', '48']",['19'],0.1,0.58,1.07
"['1', '34', '19']",['48'],0.1,0.51,1.06
"['1', '48', '19']",['34'],0.1,0.7,1.09
"['34', '48', '19']",['1'],0.1,0.58,1.12
"['1', '48']","['14', '30']",0.13,0.49,1.17
"['1', '14']","['48', '30']",0.13,0.33,1.17
"['1', '30']","['48', '14']",0.13,0.41,1.14
"['48', '14']","['1', '30']",0.13,0.35,1.14
"['48', '30']","['1', '14']",0.13,0.45,1.17
"['1', '48', '14']",['30'],0.13,0.64,1.14
"['1', '48', '30']",['14'],0.13,0.8,1.12
"['1', '14', '30']",['48'],0.13,0.53,1.1
"['48', '14', '30']",['1'],0.13,0.58,1.11
"['6', '1']","['48', '14']",0.11,0.39,1.1
"['6', '48']","['1', '14']",0.11,0.44,1.14
"['1', '48']","['6', '14']",0.11,0.44,1.13
"['48', '14']","['6', '1']",0.11,0.31,1.1
"['6', '48', '1']",['14'],0.11,0.79,1.1
"['6', '14', '1']",['48'],0.11,0.52,1.09
"['6', '48', '14']",['1'],0.11,0.58,1.11
"['1', '48', '14']",['6'],0.11,0.57,1.09
"['1', '48']","['14', '19']",0.12,0.47,1.18
"['1', '14']","['48', '19']",0.12,0.31,1.17
"['1', '19']","['48', '14']",0.12,0.42,1.17
"['48', '14']","['1', '19']",0.12,0.34,1.17
"['48', '19']","['1', '14']",0.12,0.45,1.17
"['14', '19']","['1', '48']",0.12,0.3,1.18
"['1', '48', '14']",['19'],0.12,0.62,1.14
"['1', '48', '19']",['14'],0.12,0.81,1.13
"['1', '14', '19']",['48'],0.12,0.55,1.14
"['48', '14', '19']",['1'],0.12,0.57,1.1
['48'],"['34', '18', '30']",0.14,0.3,1.12
"['34', '18']","['48', '30']",0.14,0.31,1.1
"['48', '18']","['34', '30']",0.14,0.42,1.13
"['18', '30']","['34', '48']",0.14,0.36,1.15
"['34', '48']","['18', '30']",0.14,0.46,1.15
"['34', '30']","['48', '18']",0.14,0.39,1.13
"['48', '30']","['34', '18']",0.14,0.51,1.1
"['48', '34', '18']",['30'],0.14,0.61,1.09
"['34', '18', '30']",['48'],0.14,0.54,1.12
"['48', '18', '30']",['34'],0.14,0.7,1.1
"['34', '48', '30']",['18'],0.14,0.76,1.08
"['6', '18']","['34', '48']",0.14,0.35,1.12
"['48', '18']","['6', '34']",0.14,0.39,1.1
"['6', '34']","['48', '18']",0.14,0.38,1.1
"['6', '48']","['34', '18']",0.14,0.53,1.13
"['34', '48']","['6', '18']",0.14,0.43,1.12
"['6', '34', '18']",['48'],0.14,0.52,1.08
"['48', '6', '18']",['34'],0.14,0.71,1.11
"['48', '34', '18']",['6'],0.14,0.57,1.09
"['6', '34', '48']",['18'],0.14,0.77,1.09
['48'],"['34', '18', '14']",0.19,0.39,1.08
"['34', '18']","['48', '14']",0.19,0.4,1.13
"['48', '18']","['34', '14']",0.19,0.54,1.13
"['18', '14']","['34', '48']",0.19,0.36,1.12
"['34', '48']","['18', '14']",0.19,0.59,1.12
"['34', '14']","['48', '18']",0.19,0.39,1.13
"['48', '14']","['34', '18']",0.19,0.53,1.13
"['48', '34', '18']",['14'],0.19,0.8,1.11
"['34', '18', '14']",['48'],0.19,0.52,1.08
"['48', '18', '14']",['34'],0.19,0.69,1.08
"['34', '48', '14']",['18'],0.19,0.77,1.1
"['48', '18']","['34', '19']",0.14,0.39,1.09
"['18', '19']","['34', '48']",0.14,0.34,1.08
"['34', '48']","['18', '19']",0.14,0.43,1.08
"['34', '19']","['48', '18']",0.14,0.38,1.09
"['48', '19']","['34', '18']",0.14,0.51,1.09
"['48', '34', '18']",['19'],0.14,0.58,1.07
"['34', '18', '19']",['48'],0.14,0.5,1.04
"['48', '18', '19']",['34'],0.14,0.68,1.06
"['34', '48', '19']",['18'],0.14,0.77,1.09
"['6', '18']","['48', '30']",0.12,0.31,1.1
"['48', '18']","['6', '30']",0.12,0.34,1.11
"['6', '48']","['18', '30']",0.12,0.46,1.17
"['6', '30']","['48', '18']",0.12,0.39,1.11
